id	name	description
281	FUNCTION: NADPH dehydrogenase. NADPH diaphorase.	FUNCTION: NADPH dehydrogenase. NADPH diaphorase. FMN in yeasts; FAD in plants.
282	FUNCTION: ribonuclease P. 	FUNCTION: ribonuclease P.  Essential for tRNA processing; generates 5'-termini of mature tRNA molecules.
283	FUNCTION: dihydrolipoyl dehydrogenase. dehydrolipoate dehydrogenase. diaphorase. dihydrolipoamide dehydrogenase. dihydrolipoic dehydrogenase. dihydrothioctic dehydrogenase. E3 component of alpha-ketoacid dehydrogenase complexes. glycine-cleavage system L-protein. LDP-Glc. LDP-Val. lipoamide dehydrogenase (NADH). lipoamide oxidoreductase (NADH). lipoamide reductase. lipoamide reductase (NADH). lipoate dehydrogenase. lipoic acid dehydrogenase. lipoyl dehydrogenase. L-protein.	FUNCTION: dihydrolipoyl dehydrogenase. dehydrolipoate dehydrogenase. diaphorase. dihydrolipoamide dehydrogenase. dihydrolipoic dehydrogenase. dihydrothioctic dehydrogenase. E3 component of alpha-ketoacid dehydrogenase complexes. glycine-cleavage system L-protein. LDP-Glc. LDP-Val. lipoamide dehydrogenase (NADH). lipoamide oxidoreductase (NADH). lipoamide reductase. lipoamide reductase (NADH). lipoate dehydrogenase. lipoic acid dehydrogenase. lipoyl dehydrogenase. L-protein. A component of the multienzyme 2-oxo-acid dehydrogenase complexes. In the pyruvate dehydrogenase complex, it binds to the core of EC 2.3.1.12 and catalyzes oxidation of its dihydrolipoyl groups. It plays a similar role in the oxoglutarate and 3-methyl-2- oxobutanoate dehydrogenase complexes. Another substrate is the dihydrolipoyl group in the H-protein of the glycine-cleavage system, in which it acts, together with EC 1.4.4.2 and EC 2.1.2.10 to break down glycine. It can also use free dihydrolipoate, dihydrolipoamide or dihydrolipoyllysine as substrate. Was first shown to catalyze the oxidation of NADH by methylene blue; this activity was called diaphorase. The glycine cleavage system is composed of four components that only loosely associate: the P protein (EC 1.4.4.2), the T protein (EC 2.1.2.10), the L protein (EC 1.8.1.4) and the lipoyl-bearing H protein. Formerly EC 1.6.4.3.
284	FUNCTION: alpha,alpha-trehalose-phosphate synthase (UDP-forming). transglucosylase. trehalose 6-phosphate synthase. trehalose 6-phosphate synthetase. trehalose phosphate synthase. trehalose phosphate synthetase. trehalosephosphate-UDP glucosyltransferase. UDP-glucose--glucose-phosphate glucosyltransferase.	FUNCTION: alpha,alpha-trehalose-phosphate synthase (UDP-forming). transglucosylase. trehalose 6-phosphate synthase. trehalose 6-phosphate synthetase. trehalose phosphate synthase. trehalose phosphate synthetase. trehalosephosphate-UDP glucosyltransferase. UDP-glucose--glucose-phosphate glucosyltransferase. See also EC 2.4.1.36.
285	FUNCTION: glutathione-disulfide reductase. glutathione reductase. glutathione reductase (NADPH). glutathione S-reductase. GSH reductase. GSSG reductase. NADPH:oxidized-glutathione oxidoreductase. NADPH-glutathione reductase. NADPH-GSSG reductase.	FUNCTION: glutathione-disulfide reductase. glutathione reductase. glutathione reductase (NADPH). glutathione S-reductase. GSH reductase. GSSG reductase. NADPH:oxidized-glutathione oxidoreductase. NADPH-glutathione reductase. NADPH-GSSG reductase. Activity is dependent on a redox-active disulfide in each of the active centers. Formerly EC 1.6.4.2.
286	FUNCTION: acetolactate synthase. acetohydroxyacid synthase. acetohydroxy acid synthetase. acetolactate pyruvate-lyase (carboxylating). acetolactic synthetase. alpha-acetohydroxyacid synthase. alpha-acetohydroxy acid synthetase. alpha-acetolactate synthase. alpha-acetolactate synthetase.	FUNCTION: acetolactate synthase. acetohydroxyacid synthase. acetohydroxy acid synthetase. acetolactate pyruvate-lyase (carboxylating). acetolactic synthetase. alpha-acetohydroxyacid synthase. alpha-acetohydroxy acid synthetase. alpha-acetolactate synthase. alpha-acetolactate synthetase. The reaction shown is in the pathway of biosynthesis of valine. The enzyme can also transfer the acetaldehyde from pyruvate to 2-oxobutanoate, forming 2-ethyl-2-hydroxy-3-oxobutanoate, also known as 2-aceto-2-hydroxybutanoate, a reaction in the biosynthesis of isoleucine. Formerly EC 4.1.3.18.
287	FUNCTION: 3-phytase. 1-phytase. myo-inositol-hexakisphosphate 3-phosphohydrolase. phytase. phytate 1-phosphatase. phytate 3-phosphatase. phytate 6-phosphatase.	FUNCTION: 3-phytase. 1-phytase. myo-inositol-hexakisphosphate 3-phosphohydrolase. phytase. phytate 1-phosphatase. phytate 3-phosphatase. phytate 6-phosphatase. 
288	FUNCTION: GMP synthase (glutamine-hydrolyzing). GMP synthetase (glutamine-hydrolyzing).	FUNCTION: GMP synthase (glutamine-hydrolyzing). GMP synthetase (glutamine-hydrolyzing). Involved in the de novo biosynthesis of guanosine nucleotides. An N-terminal glutaminase domain binds L-glutamine and generates ammonia, which is transferred by a substrate-protective tunnel to the ATP-pyrophosphatase domain. The enzyme can catalyze the second reaction alone in the presence of ammonia. Formerly EC 6.3.4.1.
289	FUNCTION: acetylglutamate kinase. 	FUNCTION: acetylglutamate kinase.  
290	FUNCTION: Transferred entry: 4.3.3.7. 	FUNCTION: Transferred entry: 4.3.3.7.  
291	FUNCTION: 5-oxoprolinase (ATP-hydrolyzing). 5-OPase. 5-oxo-L-prolinase. pyroglutamase (ATP-hydrolyzing).	FUNCTION: 5-oxoprolinase (ATP-hydrolyzing). 5-OPase. 5-oxo-L-prolinase. pyroglutamase (ATP-hydrolyzing). 
292	FUNCTION: chloride peroxidase. chloroperoxidase. CPO. vanadium haloperoxidase.	FUNCTION: chloride peroxidase. chloroperoxidase. CPO. vanadium haloperoxidase. Brings about the chlorination of a range of organic molecules, forming stable C-Cl bonds. Also oxidizes bromide and iodide. Enzymes of this type are either heme-thiolate proteins, or contain vanadate. A secreted enzyme produced by the ascomycetous fungus Caldariomyces fumago (Leptoxyphium fumago) is an example of the heme-thiolate type. It catalyzes the production of hypochlorous acid by transferring one oxygen atom from H2O2 to chloride. At a separate site it catalyzes the chlorination of activated aliphatic and aromatic substrates, via HClO and derived chlorine species. In the absence of halides, it shows peroxidase (e.g. phenol oxidation) and peroxygenase activities. The latter inserts oxygen from H2O2 into, for example, styrene (side chain epoxidation) and toluene (benzylic hydroxylation), however, these activities are less pronounced than its activity with halides. Has little activity with non-activated substrates such as aromatic rings, ethers or saturated alkanes. The chlorinating peroxidase produced by ascomycetous fungi (e.g. Curvularia inaequalis) is an example of a vanadium chloroperoxidase, and is related to bromide peroxidase (EC 1.11.1.18). It contains vanadate and oxidizes chloride, bromide and iodide into hypohalous acids. In the absence of halides, it peroxygenates organic sulfides and oxidizes ABTS [2,2'-azinobis(3-ethylbenzthiazoline-6-sulfonic acid)] but no phenols.
293	FUNCTION: acetylxylan esterase. 	FUNCTION: acetylxylan esterase.  catalyzes the hydrolysis of acetyl groups from polymeric xylan, acetylated xylose, acetylated glucose, alpha-napthyl acetate, p-nitrophenyl acetate but not from triacetylglycerol. Does not act on acetylated mannan or pectin.
294	FUNCTION: ribose-phosphate diphosphokinase. Phosphoribosyl diphosphate synthetase. Phosphoribosyl pyrophosphate synthetase. ribose-phosphate pyrophosphokinase.	FUNCTION: ribose-phosphate diphosphokinase. Phosphoribosyl diphosphate synthetase. Phosphoribosyl pyrophosphate synthetase. ribose-phosphate pyrophosphokinase. dATP can also act as donor.
295	FUNCTION: adenosine kinase. 	FUNCTION: adenosine kinase.  2-Aminoadenosine can also act as acceptor.
296	FUNCTION: methionine--tRNA ligase. methionine translase. methionyl-transfer ribonucleate synthetase. methionyl-transfer ribonucleic acid synthetase. methionyl-transfer RNA synthetase. methionyl-tRNA synthetase. MetRS.	FUNCTION: methionine--tRNA ligase. methionine translase. methionyl-transfer ribonucleate synthetase. methionyl-transfer ribonucleic acid synthetase. methionyl-transfer RNA synthetase. methionyl-tRNA synthetase. MetRS. In those organisms producing N-formylmethionyl-tRNA(fMet) for translation initiation, this enzyme also recognizes the initiator tRNA(fMet) and catalyzes the formation of L-methionyl-tRNA(fMet), the substrate for EC 2.1.2.9.
297	FUNCTION: adenine phosphoribosyltransferase. AMP diphosphorylase. AMP pyrophosphorylase. APRT. transphosphoribosidase.	FUNCTION: adenine phosphoribosyltransferase. AMP diphosphorylase. AMP pyrophosphorylase. APRT. transphosphoribosidase. 5-Amino-4-imidazolecarboxamide can replace adenine.
298	FUNCTION: penicillin amidase. penicillin acylase.	FUNCTION: penicillin amidase. penicillin acylase. 
299	FUNCTION: thioredoxin-disulfide reductase. NADPH:oxidized thioredoxin oxidoreductase. NADPH--thioredoxin reductase. NADP--thioredoxin reductase. thioredoxin reductase (NADPH).	FUNCTION: thioredoxin-disulfide reductase. NADPH:oxidized thioredoxin oxidoreductase. NADPH--thioredoxin reductase. NADP--thioredoxin reductase. thioredoxin reductase (NADPH). May be identical to EC 1.8.1.10. Formerly EC 1.6.4.5.
300	FUNCTION: ribonuclease H. endoribonuclease H. RNase H.	FUNCTION: ribonuclease H. endoribonuclease H. RNase H. Acts on RNA-DNA hybrids.
301	FUNCTION: ribonucleoside-diphosphate reductase. ribonucleotide reductase.	FUNCTION: ribonucleoside-diphosphate reductase. ribonucleotide reductase. This enzyme is responsible for the de novo conversion of ribonucleoside diphosphates into deoxyribonucleoside diphosphates, which are essential for DNA synthesis and repair. There are three types of this enzyme differing in their cofactors. Class Ia enzymes contain a diiron(III)-tyrosyl radical, class Ib enzymes contain a dimanganese-tyrosyl radical, and class II enzymes contain adenosylcobalamin. In all cases the cofactors are involved in generation of a transient thiyl (sulfanyl) radical on a cysteine residue, which attacks the substrate, forming a ribonucleotide 3'-radical, followed by water loss to form a ketyl (alpha-oxoalkyl) radical. The ketyl radical is reduced to 3'-keto-deoxynucleotide concomitant with formation of a disulfide anion radical between two cysteine residues. A proton-coupled electron-transfer from the disulfide radical to the substrate generates a 3'-deoxynucleotide radical, and the the final product is formed when the hydrogen atom that was initially removed from the 3'-position of the nucleotide by the thiyl radical is returned to the same position. The disulfide bridge is reduced by the action of thioredoxin. Cf. EC 1.1.98.6 and EC 1.17.4.2.
302	FUNCTION: ferredoxin:protochlorophyllide reductase (ATP-dependent). light-independent protochlorophyllide reductase.	FUNCTION: ferredoxin:protochlorophyllide reductase (ATP-dependent). light-independent protochlorophyllide reductase. Occurs in photosynthetic bacteria, cyanobacteria, green algae and gymnosperms. The enzyme catalyzes trans-reduction of the D-ring of protochlorophyllide; the product has the (7S,8S)-configuration. Unlike EC 1.3.1.33 light is not required. The enzyme contains a [4Fe-4S] cluster, and structurally resembles the Fe protein/MoFe protein complex of EC 1.18.6.1, which catalyzes an ATP-driven reduction.
303	FUNCTION: [histone H3]-lysine(4) N-trimethyltransferase. 	FUNCTION: [histone H3]-lysine(4) N-trimethyltransferase.  This entry describes several enzymes that successively methylate the L-lysine(4) residue of histone H3 (H3K4), ultimately generating a trimethylated form. These modifications influence the binding of chromatin-associated proteins. In most cases the trimethylation of this position is associated with gene activation. EC 2.1.1.364 describes enzymes that can catalyze only monomethylation of this substrate (the first sub-reaction of this entry). Formerly EC 2.1.1.43.
304	FUNCTION: 6-phosphogluconolactonase. 	FUNCTION: 6-phosphogluconolactonase.  
305	FUNCTION: shikimate dehydrogenase (NADP(+)). 5-dehydroshikimate reductase. 5-dehydroshikimic reductase. dehydroshikimic reductase. DHS reductase. shikimate 5-dehydrogenase. shikimate dehydrogenase. shikimate oxidoreductase.	FUNCTION: shikimate dehydrogenase (NADP(+)). 5-dehydroshikimate reductase. 5-dehydroshikimic reductase. dehydroshikimic reductase. DHS reductase. shikimate 5-dehydrogenase. shikimate dehydrogenase. shikimate oxidoreductase. NAD(+) cannot replace NADP(+). In higher organisms, this enzyme forms part of a multienzyme complex with EC 4.2.1.10. Cf. EC 1.1.1.24, EC 1.1.1.282, and EC 1.1.5.8.
306	FUNCTION: dynamin GTPase. 	FUNCTION: dynamin GTPase.  An enzyme with a molecular mass of about 100 kDa that is involved in endocytosis and is instrumental in pinching off membrane vesicles. Formerly EC 3.6.1.50.
307	FUNCTION: o-succinylbenzoate synthase. 2-succinylbenzoate synthase. OSBS. OSB synthase. o-succinylbenzoic acid synthase.	FUNCTION: o-succinylbenzoate synthase. 2-succinylbenzoate synthase. OSBS. OSB synthase. o-succinylbenzoic acid synthase. Forms part of the vitamin-K biosynthesis pathway.
308	FUNCTION: malate dehydrogenase. malic dehydrogenase.	FUNCTION: malate dehydrogenase. malic dehydrogenase. Also oxidizes some other 2-hydroxydicarboxylic acids.
309	FUNCTION: histidinol-phosphate transaminase. Histidinol-phosphate aminotransferase. Imidazole acetol-phosphate transaminase. imidazolylacetolphosphate aminotransferase.	FUNCTION: histidinol-phosphate transaminase. Histidinol-phosphate aminotransferase. Imidazole acetol-phosphate transaminase. imidazolylacetolphosphate aminotransferase. 
310	FUNCTION: ferroxidase. ceruloplasmin. HEPH. hephaestin.	FUNCTION: ferroxidase. ceruloplasmin. HEPH. hephaestin. 
311	FUNCTION: adenosylhomocysteine nucleosidase. 5'-methyladenosine nucleosidase. AdoHcy/MTA nucleosidase. S-adenosylhomocysteine/5'-methylthioadenosine nucleosidase. S-adenosylhomocysteine hydrolase. S-adenosylhomocysteine nucleosidase.	FUNCTION: adenosylhomocysteine nucleosidase. 5'-methyladenosine nucleosidase. AdoHcy/MTA nucleosidase. S-adenosylhomocysteine/5'-methylthioadenosine nucleosidase. S-adenosylhomocysteine hydrolase. S-adenosylhomocysteine nucleosidase. 
312	FUNCTION: ribonuclease III. ribonuclease 3. RNase III.	FUNCTION: ribonuclease III. ribonuclease 3. RNase III. An endoribonuclease that cleaves double-stranded RNA molecules. The cleavage can be either a single-stranded nick or double-stranded break in the RNA, depending in part upon the degree of base-pairing in the region of the cleavage site. Specificity is conferred by negative determinants, i.e., the presence of certain Watson-Crick base-pairs at specific positions that strongly inhibit cleavage. RNase III is involved in both rRNA processing and mRNA processing and decay.
313	FUNCTION: succinate--CoA ligase (ADP-forming). succinate thiokinase. succinyl-CoA synthetase (ADP-forming).	FUNCTION: succinate--CoA ligase (ADP-forming). succinate thiokinase. succinyl-CoA synthetase (ADP-forming). 
314	FUNCTION: diacylglycerol kinase (ATP). DGK. diglyceride kinase.	FUNCTION: diacylglycerol kinase (ATP). DGK. diglyceride kinase. Involved in synthesis of membrane phospholipids and the neutral lipid triacylglycerol. Activity is stimulated by certain phospholipids. In plants and animals the product 1,2-diacyl-sn-glycerol 3-phosphate is an important second messenger. cf. EC 2.7.1.174.
315	FUNCTION: uracil phosphoribosyltransferase. UMP diphosphorylase. UMP pyrophosphorylase.	FUNCTION: uracil phosphoribosyltransferase. UMP diphosphorylase. UMP pyrophosphorylase. 
316	FUNCTION: 2-isopropylmalate synthase. 3-carboxy-3-hydroxy-4-methylpentanoate 3-methyl-2-oxobutanoate-lyase (CoA-acetylating). alpha-IPM synthetase. alpha-isopropylmalate synthase. alpha-isopropylmalate synthetase. alpha-isopropylmalic synthetase. isopropylmalate synthase. isopropylmalate synthetase.	FUNCTION: 2-isopropylmalate synthase. 3-carboxy-3-hydroxy-4-methylpentanoate 3-methyl-2-oxobutanoate-lyase (CoA-acetylating). alpha-IPM synthetase. alpha-isopropylmalate synthase. alpha-isopropylmalate synthetase. alpha-isopropylmalic synthetase. isopropylmalate synthase. isopropylmalate synthetase. Formerly EC 4.1.3.12.
317	FUNCTION: P-type Cu(+) transporter. Cu(+)-exporting ATPase.	FUNCTION: P-type Cu(+) transporter. Cu(+)-exporting ATPase. A P-type ATPase that undergoes covalent phosphorylation during the transport cycle. This enzyme transports Cu(+) or Ag(+), and cannot transport the divalent ions, contrary to EC 7.2.2.9, which mainly transports the divalent copper ion. Formerly EC 3.6.3.54 and EC 3.6.3.n1.
318	FUNCTION: urease. 	FUNCTION: urease.  
319	FUNCTION: mitogen-activated protein kinase kinase. MAP2K. MAP kinase kinase. MAPKK. MEK. MKK.	FUNCTION: mitogen-activated protein kinase kinase. MAP2K. MAP kinase kinase. MAPKK. MEK. MKK. A dual-specific protein kinase and requires mitogen-activated protein kinase kinase kinase (MAPKKK) for activation. It is required for activation of EC 2.7.11.24. Phosphorylation of MEK1 by Raf involves phosphorylation of two serine residues. Mitogen-activated protein kinase (MAPK) signal transduction pathways are among the most widespread mechanisms of cellular regulation. Mammalian MAPK pathways can be recruited by a wide variety of stimuli including hormones (e.g. insulin and growth hormone), mitogens (e.g. epidermal growth factor and platelet-derived growth factor), vasoactive peptides (e.g. angiotensin-II and endothelin), inflammatory cytokines of the tumor necrosis factor (TNF) family and environmental stresses such as osmotic shock, ionizing radiation and ischemeic injury.
320	FUNCTION: thymidine kinase. 	FUNCTION: thymidine kinase.  Deoxyuridine can also act as acceptor. dGTP can also act as donor. The deoxypyrimidine kinase complex induced by Herpes simplex virus catalyzes this reaction as well as those of EC 2.7.1.114, EC 2.7.1.118 and EC 2.7.4.9. Formerly EC 2.7.1.75.
321	FUNCTION: non-specific protein-tyrosine kinase. cytoplasmic protein tyrosine kinase.	FUNCTION: non-specific protein-tyrosine kinase. cytoplasmic protein tyrosine kinase. Unlike EC 2.7.10.1, this protein-tyrosine kinase does not have a transmembrane domain. In the human genome, 32 non-specific protein-tyrosine kinases have been identified and these can be divided into 10 families. Formerly EC 2.7.1.112.
322	FUNCTION: corrinoid adenosyltransferase. aquacob(I)alamin adenosyltransferase. aquocob(I)alamin vitamin B12s adenosyltransferase. ATP:cob(I)alamin Cobeta-adenosyltransferase. ATP:corrinoid adenosyltransferase. cob(I)alamin adenosyltransferase. cob(I)yrinic acid a,c-diamide adenosyltransferase.	FUNCTION: corrinoid adenosyltransferase. aquacob(I)alamin adenosyltransferase. aquocob(I)alamin vitamin B12s adenosyltransferase. ATP:cob(I)alamin Cobeta-adenosyltransferase. ATP:corrinoid adenosyltransferase. cob(I)alamin adenosyltransferase. cob(I)yrinic acid a,c-diamide adenosyltransferase. The corrinoid adenosylation pathway comprises three steps: (i) reduction of Co(III) to Co(II) by a one-electron transfer. This can occur non-enzymically in the presence of dihydroflavin nucleotides or reduced flavoproteins. (ii) Co(II) is bound by corrinoid adenosyltransferase, resulting in displacement of the lower axial ligand by an aromatic residue. The reduction potential of the 4-coordinate Co(II) intermediate is raised by ~250 mV compared with the free compound, bringing it to within physiological range. This is followed by a second single-electron transfer from either free dihydroflavins or the reduced flavin cofactor of flavoproteins, resulting in reduction to Co(I). (iii) the Co(I) conducts a nucleophilic attack on the adenosyl moiety of ATP, resulting in transfer of the deoxyadenosyl group and oxidation of the cobalt atom to Co(III) state. Three types of corrinoid adenosyltransferases, not related by sequence, have been described. In the anaerobic bacterium Salmonella enterica they are encoded by the cobA gene (a housekeeping enzyme involved in both adenosylcobalamin de novo biosynthesis and salvage), the pduO gene (involved in (S)-propane-1,2-diol utilization), and the eutT gene (involved in ethanolamine utilization). Since EutT hydrolyzes triphosphate during catalysis, it is classified as a separate enzyme. The mammalian enzyme belongs to the PduO type. The enzyme can act on other corrinoids, such as cob(II)inamide. Formerly EC 1.16.8.1.
323	FUNCTION: purine-nucleoside phosphorylase. inosine phosphorylase. PNPase.	FUNCTION: purine-nucleoside phosphorylase. inosine phosphorylase. PNPase. Specificity not completely determined. Can also catalyze ribosyltransferase reactions of the type catalyzed by EC 2.4.2.5.
324	FUNCTION: aminomethyltransferase. glycine-cleavage system T-protein. glycine synthase. tetrahydrofolate aminomethyltransferase.	FUNCTION: aminomethyltransferase. glycine-cleavage system T-protein. glycine synthase. tetrahydrofolate aminomethyltransferase. A component, with EC 1.4.4.2 and EC 1.8.1.4, of the glycine cleavage system, formerly known as glycine synthase. The glycine cleavage system is composed of four components that only loosely associate: the P protein (EC 1.4.4.2), the T protein (EC 2.1.2.10), the L protein (EC 1.8.1.4) and the lipoyl-bearing H protein.
325	FUNCTION: peptidylprolyl isomerase. cyclophilin. peptidylprolyl cis-trans isomerase. peptidyl-prolyl cis-trans isomerase. PPIase. rotamase.	FUNCTION: peptidylprolyl isomerase. cyclophilin. peptidylprolyl cis-trans isomerase. peptidyl-prolyl cis-trans isomerase. PPIase. rotamase. The first type of this enzyme found proved to be the protein cyclophilin, which binds the immunosuppressant cyclosporin A. Other distinct families of the enzyme exist, one being FK-506 binding proteins (FKBP) and another that includes parvulin from Escherichia coli. The three families are structurally unrelated and can be distinguished by being inhibited by cyclosporin A, FK-506 and 5-hydroxy-1,4-naphthoquinone, respectively.
326	FUNCTION: dephospho-CoA kinase. dephosphocoenzyme A kinase.	FUNCTION: dephospho-CoA kinase. dephosphocoenzyme A kinase. 
327	FUNCTION: branched-chain-amino-acid transaminase. branched-chain amino acid aminotransferase. transaminase B.	FUNCTION: branched-chain-amino-acid transaminase. branched-chain amino acid aminotransferase. transaminase B. Also acts on L-isoleucine and L-valine. Different from EC 2.6.1.66.
328	FUNCTION: pyridoxal 5'-phosphate synthase. PMP oxidase. pyridoxamine 5'-phosphate oxidase. pyridoxamine phosphate oxidase. pyridoxamine-phosphate oxidase. pyridoxine (pyridoxamine) 5'-phosphate oxidase. pyridoxine (pyridoxamine)phosphate oxidase.	FUNCTION: pyridoxal 5'-phosphate synthase. PMP oxidase. pyridoxamine 5'-phosphate oxidase. pyridoxamine phosphate oxidase. pyridoxamine-phosphate oxidase. pyridoxine (pyridoxamine) 5'-phosphate oxidase. pyridoxine (pyridoxamine)phosphate oxidase. In Escherichia coli, the coenzyme pyridoxal 5'-phosphate is synthesized de novo by a pathway that involves EC 1.2.1.72, EC 1.1.1.290, EC 2.6.1.52, EC 1.1.1.262, EC 2.6.99.2 and EC 1.4.3.5.
329	FUNCTION: spermidine synthase. aminopropyltransferase. putrescine aminopropyltransferase.	FUNCTION: spermidine synthase. aminopropyltransferase. putrescine aminopropyltransferase. The enzymes from the plant Glycine max and from mammalia are highly specific for putrescine as the amine acceptor. The enzymes from the bacteria Escherichia coli and Thermotoga maritima prefer putrescine but are more tolerant toward other amine acceptors, such as spermidine and cadaverine. Cf. EC 2.5.1.22 and EC 2.5.1.23.
330	FUNCTION: chorismate mutase. hydroxyphenylpyruvate synthase.	FUNCTION: chorismate mutase. hydroxyphenylpyruvate synthase. 
331	FUNCTION: ferredoxin--NADP(+) reductase. 	FUNCTION: ferredoxin--NADP(+) reductase.  In chloroplasts and cyanobacteria the enzyme acts on plant-type [2Fe- 2S] ferredoxins, but in other bacteria it can also reduce bacterial 2[4Fe-4S] ferredoxins and flavodoxin. Formerly EC 1.6.7.1 and EC 1.6.99.4.
332	FUNCTION: NAD(+) ADP-ribosyltransferase. ADP-ribosyltransferase (polymerizing). poly(adenosine diphosphate ribose) polymerase. poly(ADP-ribose)polymerase. poly(ADP-ribose) synthetase.	FUNCTION: NAD(+) ADP-ribosyltransferase. ADP-ribosyltransferase (polymerizing). poly(adenosine diphosphate ribose) polymerase. poly(ADP-ribose)polymerase. poly(ADP-ribose) synthetase. The ADP-D-ribosyl group of NAD(+) is transferred to an acceptor carboxy group on a histone or the enzyme itself, and further ADP- ribosyl groups are transferred to the 2'-position of the terminal adenosine moiety, building up a polymer with an average chain length of 20-30 units.
333	FUNCTION: protein-glutamine gamma-glutamyltransferase. fibrinoligase. glutaminylpeptide gamma-glutamyltransferase. polyamine transglutaminase. TGase. transglutaminase.	FUNCTION: protein-glutamine gamma-glutamyltransferase. fibrinoligase. glutaminylpeptide gamma-glutamyltransferase. polyamine transglutaminase. TGase. transglutaminase. The gamma-carboxymide groups of peptide-bound glutamine residues act as acyl donors, and the 6-amino-groups of protein- and peptide-bound lysine residues act as acceptors, to give intra- and inter-molecular N(6)-(5-glutamyl)lysine cross-links.
334	FUNCTION: aminoacyl-tRNA hydrolase. peptidyl-tRNA hydrolase.	FUNCTION: aminoacyl-tRNA hydrolase. peptidyl-tRNA hydrolase. 
335	FUNCTION: complement subcomponent C1s. C1s esterase.	FUNCTION: complement subcomponent C1s. C1s esterase. Activated from proenzyme C1s in plasma by the activated complement subcomponent C1r. Belongs to peptidase family S1.
336	FUNCTION: mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase. di-N-acetylchitobiosyl beta-N-acetylglucosaminidase. endo-beta-N-acetylglucosaminidase.	FUNCTION: mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase. di-N-acetylchitobiosyl beta-N-acetylglucosaminidase. endo-beta-N-acetylglucosaminidase. 
337	FUNCTION: DNA-directed DNA polymerase. DNA-dependent DNA polymerase. DNA nucleotidyltransferase (DNA-directed).	FUNCTION: DNA-directed DNA polymerase. DNA-dependent DNA polymerase. DNA nucleotidyltransferase (DNA-directed). Catalyzes DNA-template-directed extension of the 3'-end of a DNA strand by one nucleotide at a time. Cannot initiate a chain de novo. Requires a primer which may be DNA or RNA. See also EC 2.7.7.49.
338	FUNCTION: histone deacetylase. HDAC.	FUNCTION: histone deacetylase. HDAC. A class of enzymes that remove acetyl groups from N(6)-acetyl-lysine residues on a histone. The reaction of this enzyme is opposite to that of EC 2.3.1.48. Histone deacetylases (HDACs) can be organized into three classes depending on sequence similarity and domain organization. Histone acetylation plays an important role in regulation of gene expression. In eukaryotes, HDACs play a key role in the regulation of transcription and cell proliferation. May be identical to EC 3.5.1.17.
339	FUNCTION: 4-alpha-glucanotransferase. D-enzyme. dextrin glycosyltransferase. disproportionating enzyme. oligo-1,4-1,4-glucantransferase.	FUNCTION: 4-alpha-glucanotransferase. D-enzyme. dextrin glycosyltransferase. disproportionating enzyme. oligo-1,4-1,4-glucantransferase. An enzymic activity of this nature forms part of the mammalian and Saccharomyces cerevisiae glycogen branching system (see EC 3.2.1.33). Formerly EC 2.4.1.3.
340	FUNCTION: 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase. MECDP-synthase.	FUNCTION: 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase. MECDP-synthase. Forms part of an alternative nonmevalonate pathway for terpenoid biosynthesis.
341	FUNCTION: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase. (3R)-3-hydroxyoctanoyl-[acyl-carrier-protein] hydro-lyase. 3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase. beta-hydroxyoctanoyl-ACP-dehydrase. beta-hydroxyoctanoyl-acyl carrier protein dehydrase. beta-hydroxyoctanoyl thioester dehydratase. D-3-hydroxyoctanoyl-[acyl carrier protein] dehydratase.	FUNCTION: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase. (3R)-3-hydroxyoctanoyl-[acyl-carrier-protein] hydro-lyase. 3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase. beta-hydroxyoctanoyl-ACP-dehydrase. beta-hydroxyoctanoyl-acyl carrier protein dehydrase. beta-hydroxyoctanoyl thioester dehydratase. D-3-hydroxyoctanoyl-[acyl carrier protein] dehydratase. This enzyme is responsible for the dehydration step of the dissociated (type II) fatty-acid biosynthesis system that occurs in plants and bacteria. The enzyme uses fatty acyl thioesters of ACP in vivo. Different forms of the enzyme may have preferences for substrates with different chain length. For example, the activity of FabZ, the ubiquitous enzyme in bacteria, decreases with increasing chain length. Gram-negative bacteria that produce unsaturated fatty acids, such as Escherichia coli, have another form (FabA) that prefers intermediate chain length, and also catalyzes EC 5.3.3.14. Despite the differences both forms can catalyze all steps leading to the synthesis of palmitate (C16:0). FabZ, but not FabA, can also accept unsaturated substrates. Formerly EC 4.2.1.58, EC 4.2.1.60 and EC 4.2.1.61.
