id	EC_number	hier1	hier2	hier3	name	comment	alter_name
197	2.1.1.37	Transferases.	Transferring one-carbon groups.	Methyltransferases.	DNA (cytosine-5-)-methyltransferase.	See the REBASE database for a complete list of these enzymes: http://rebase.neb.com/rebase/ Formerly EC 2.1.1.73.	cytosine 5-methyltransferase. cytosine DNA methylase. cytosine DNA methyltransferase. cytosine-specific DNA methyltransferase. deoxyribonucleate methylase. deoxyribonucleate methyltransferase. deoxyribonucleic (cytosine-5-)-methyltransferase. deoxyribonucleic acid (cytosine-5-)-methyltransferase. deoxyribonucleic acid methylase. deoxyribonucleic acid methyltransferase. deoxyribonucleic acid modification methylase. deoxyribonucleic methylase. DNA 5-cytosine methylase. DNA-cytosine 5-methylase. DNA cytosine C(5) methylase. DNA cytosine methylase. DNA-cytosine methyltransferase. DNA methylase. DNA methyltransferase. DNA transmethylase. methylphosphotriester-DNA methyltransferase. modification methylase. restriction-modification system. site-specific DNA-methyltransferase (cytosine-specific). Type II DNA methylase.
198	3.2.1.8	Hydrolases.	Glycosylases.	and S-glycosyl compounds.	endo-1,4-beta-xylanase.		
199	1.10.3.1	Oxidoreductases.	Acting on diphenols and related substances as donors.	With oxygen as acceptor.	catechol oxidase.	A type 3 copper protein that catalyzes exclusively the oxidation of catechols (i.e., o-diphenols) to the corresponding o-quinones. The enzyme also acts on a variety of substituted catechols. It is different from tyrosinase, EC 1.14.18.1, which can catalyze both the monooxygenation of monophenols and the oxidation of catechols.	diphenol oxidase. o-diphenolase. phenolase. polyphenol oxidase. tyrosinase.
200	5.4.99.25	Isomerases.	Intramolecular transferases.	Transferring other groups.	tRNA pseudouridine(55) synthase.	Pseudourine synthase TruB from Escherichia coli specifically modifies uridine(55) in tRNA molecules. The bifunctional archaeal enzyme also catalyzes the pseudouridylation of uridine(54). It is not known whether the enzyme from Escherichia coli can also act on position 54 in vitro, since this position is occupied in E.coli tRNAs by thymine.	Psi(55) synthase. Psi(55) tRNA pseudouridine synthase. tRNA pseudouridine 55 synthase. tRNA Psi(55) synthase.
201	1.9.3.1	Oxidoreductases.	Acting on a heme group of donors.	With oxygen as acceptor.	Transferred entry: 7.1.1.9.		
202	3.2.1.169	Hydrolases.	Glycosylases.	and S-glycosyl compounds.	protein O-GlcNAcase.	Within higher eukaryotes post-translational modification of protein serines/threonines with N-acetylglucosamine (O-GlcNAc) is dynamic, inducible and abundant, regulating many cellular processes by interfering with protein phosphorylation. EC 2.4.1.155 transfers GlcNAc onto substrate proteins and EC 3.2.1.169 cleaves GlcNAc from the modified proteins.	glycoside hydrolase O-GlcNAcase. OGA. O-GlcNAcase. O-GlcNAc hydrolase.
203	1.1.1.103	Oxidoreductases.	Acting on the CH-OH group of donors.	With NAD(+) or NADP(+) as acceptor.	L-threonine 3-dehydrogenase.	Acts in concert with EC 2.3.1.29 in the degradation of threonine to glycine. This threonine-degradation pathway is common to prokaryotic and eukaryotic cells and the two enzymes involved form a complex. In aqueous solution, the product L-2-amino-3-oxobutanoate can spontaneously decarboxylate to form aminoacetone.	TDH.
204	4.2.1.17	Lyases.	Carbon-oxygen lyases.	Hydro-lyases.	enoyl-CoA hydratase.	Acts in the reverse direction. With cis-compounds, yields (3R)-3-hydroxyacyl-CoA (cf. EC 4.2.1.74).	enoyl hydrase. unsaturated acyl-CoA hydratase.
205	3.4.22.15	Hydrolases.	Acting on peptide bonds (peptidases).	Cysteine endopeptidases.	cathepsin L.	A lysosomal enzyme that is readily inhibited by the diazomethane inhibitor Z-Phe-Phe-CHN2 or the epoxide inhibitor E-64. Belongs to peptidase family C1.	
206	6.5.1.3	Ligases.	Forming phosphoric ester bonds.	Forming phosphoric ester bonds.	RNA ligase (ATP).	The enzyme catalyzes the ligation of RNA strands with 3'-hydroxyl and 5'-phosphate termini, forming a phosphodiester and sealing certain types of single-strand breaks in RNA. Catalysis occurs by a three-step mechanism, starting with the activation of the enzyme by ATP, forming a phosphoramide bond between adenylate and a lysine residue. The adenylate group is then transferred to the 5'-phosphate terminus of the substrate, forming the capped structure 5'-(5'-diphosphoadenosine)-[RNA]. Finally, the enzyme catalyzes a nucleophilic attack of the 3'-OH terminus on the capped terminus, which results in formation of the phosphodiester bond and release of the adenylate.	polyribonucleotide synthase (ATP). ribonucleic ligase.
207	3.1.4.11	Hydrolases.	Acting on ester bonds.	Phosphoric diester hydrolases.	phosphoinositide phospholipase C.	These enzymes form some of the cyclic phosphate Ins(cyclic 1,2)P(4,5)P2 as well as Ins(1,4,5)P3. They show activity toward phosphatidylinositol, i.e., the activity of EC 4.6.1.13 in vitro at high calcium concentration.	1-phosphatidyl-D-myo-inositol-4,5-bisphosphate inositoltrisphosphohydrolase. 1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase. monophosphatidylinositol phosphodiesterase. phosphatidylinositol phospholipase C. phosphoinositidase C. PI-PLC. triphosphoinositide phosphodiesterase.
208	3.4.21.4	Hydrolases.	Acting on peptide bonds (peptidases).	Serine endopeptidases.	trypsin.	Belongs to peptidase family S1. Formerly EC 3.4.4.4.	alpha-trypsin. beta-trypsin.
209	2.3.1.9	Transferases.	Acyltransferases.	Transferring groups other than amino-acyl groups.	acetyl-CoA C-acetyltransferase.	The enzyme, found in both eukaryotes and prokaryotes, catalyzes the Claisen condensation of an acetyl-CoA and an acyl-CoA (often another acetyl-CoA), leading to the formation of an acyl-CoA that is longer by two carbon atoms. The reaction starts with the acylation of a nucleophilic cysteine at the active site, usually by acetyl-CoA but potentially by a different acyl-CoA, with concomitant release of CoA. In the second step the acyl group is transferred to an acetyl-CoA molecule. Cf. EC 2.3.1.16.	acetoacetyl-CoA thiolase.
210	3.1.13.4	Hydrolases.	Acting on ester bonds.	Exoribonucleases producing 5'-phosphomonoesters.	poly(A)-specific ribonuclease.	Cleaves poly(A) in either the single- or double-stranded form.	
211	1.6.5.2	Oxidoreductases.	Acting on NADH or NADPH.	With a quinone or similar compound as acceptor.	NAD(P)H dehydrogenase (quinone).	The enzyme catalyzes a two-electron reduction and has a preference for short-chain acceptor quinones, such as ubiquinone, benzoquinone, juglone and duroquinone. The animal, but not the plant, form of the enzyme is inhibited by dicoumarol. Formerly EC 1.6.99.2.	azoreductase. dehydrogenase, reduced nicotinamide adenine dinucleotide (phosphate, quinone). diaphorase. DT-diaphorase. flavoprotein NAD(P)H-quinone reductase. menadione oxidoreductase. menadione reductase. NAD(P)H:(quinone-acceptor)oxidoreductase. NAD(P)H: menadione oxidoreductase. NAD(P)H2 dehydrogenase (quinone). NAD(P)H dehydrogenase. NAD(P)H menadione reductase. NAD(P)H-quinone dehydrogenase. NAD(P)H-quinone oxidoreductase. NADH-menadione reductase. naphthoquinone reductase. p-benzoquinone reductase. phylloquinone reductase. quinone reductase. reduced NAD(P)H dehydrogenase. reduced nicotinamide-adenine dinucleotide (phosphate) dehydrogenase. viologen accepting pyridine nucleotide oxidoreductase. vitamin K reductase. vitamin-K reductase.
212	2.3.1.180	Transferases.	Acyltransferases.	Transferring groups other than amino-acyl groups.	beta-ketoacyl-[acyl-carrier-protein] synthase III.	The enzyme is responsible for initiating straight-chain fatty acid biosynthesis by the dissociated (or type II) fatty-acid biosynthesis system that occurs in plants and bacteria. In contrast to EC 2.3.1.41 and EC 2.3.1.179, this enzyme specifically uses short-chain acyl-CoA thioesters (preferably acetyl-CoA) rather than acyl-[acp] as its substrate. The enzyme can also catalyze the reaction of EC 2.3.1.38, but to a much lesser extent. The enzymes from some organisms (e.g. the Gram-positive bacterium Streptococcus pneumoniae) can accept branched-chain acyl-CoAs in addition to acetyl-CoA (cf. EC 2.3.1.300).	3-ketoacyl-acyl carrier protein synthase III. 3-oxoacyl:ACP synthase III. beta-ketoacyl (acyl carrier protein) synthase III. beta-ketoacyl-ACP synthase III. beta-ketoacyl-acyl carrier protein synthase III. KASIII. KAS III.
213	3.4.16.4	Hydrolases.	Acting on peptide bonds (peptidases).	Serine-type carboxypeptidases.	serine-type D-Ala-D-Ala carboxypeptidase.	A group of bacterial enzymes, membrane-bound. Inhibited by beta-lactam antibiotics, which acylate the active site serine in the enzyme. Distinct from EC 3.4.17.14. Belongs to peptidase families S11, S12 and S13.	D-alanyl-D-alanine carboxypeptidase. DD-peptidase. DD-transpeptidase.
214	2.1.1.193	Transferases.	Transferring one-carbon groups.	Methyltransferases.	16S rRNA (uracil(1498)-N(3))-methyltransferase.	The enzyme specifically methylates uracil(1498) at N(3) in 16S rRNA.	m(3)U(1498) specific methyltransferase.
215	2.7.10.1	Transferases.	Transferring phosphorus-containing groups.	Protein-tyrosine kinases.	receptor protein-tyrosine kinase.	The receptor protein-tyrosine kinases, which can be defined as having a transmembrane domain, are a large and diverse multigene family found only in metazoans. In the human genome, 58 receptor-type protein-tyrosine kinases have been identified and these are distributed into 20 subfamilies. Formerly EC 2.7.1.112.	receptor protein tyrosine kinase.
216	4.6.1.1	Lyases.	Phosphorus-oxygen lyases.	Phosphorus-oxygen lyases.	adenylate cyclase.	Also acts on dATP to form 3',5'-cyclic dAMP. Requires pyruvate. Activated by NAD(+) in presence of EC 2.4.2.31.	3',5'-cyclic AMP synthetase. adenyl cyclase. adenylyl cyclase. ATP pyrophosphate-lyase.
217	2.7.7.4	Transferases.	Transferring phosphorus-containing groups.	Nucleotidyltransferases.	sulfate adenylyltransferase.	The human phosphoadenosine-phosphosulfate synthase (PAPS) system is a bifunctional enzyme: ATP sulfurylase, which catalyzes the formation of adenosine 5'-phosphosulfate (APS) from ATP and inorganic sulfate and the second step is catalyzed by the APS kinase portion of 3'-phosphoadenosine 5'-phosphosulfate (PAPS) synthase, which involves the formation of PAPS from enzyme bound APS and ATP. This is in contrast to what is found in bacteria, yeasts, fungi and plants, where the formation of PAPS is carried out by two individual polypeptides, EC 2.7.7.4 and EC 2.7.1.25.	ATP-sulfurylase. sulfate adenylate transferase. sulfurylase.
218	2.5.1.78	Transferases.	Transferring alkyl or aryl groups, other than methyl groups.	Transferring alkyl or aryl groups, other than methyl groups.	6,7-dimethyl-8-ribityllumazine synthase.	Involved in riboflavin biosynthesis.	lumazine synthase.
219	3.4.21.22	Hydrolases.	Acting on peptide bonds (peptidases).	Serine endopeptidases.	coagulation factor IXa.	The proenzyme factor IX is activated by EC 3.4.21.27. Belongs to peptidase family S1.	Christmas factor.
220	6.3.2.3	Ligases.	Forming carbon-nitrogen bonds.	Acid--amino-acid ligases (peptide synthases).	glutathione synthase.		glutathione synthetase. GSH synthetase.
221	3.2.2.1	Hydrolases.	Glycosylases.	Hydrolyzing N-glycosyl compounds.	purine nucleosidase.	The enzyme from the bacterium Ochrobactrum anthropi specifically catalyzes the irreversible N-riboside hydrolysis of purine nucleosides. Pyrimidine nucleosides, purine and pyrimidine nucleotides, NAD(+), NADP(+) and nicotinaminde mononucleotide are not substrates.	IAG-NH. IAG-nucleoside hydrolase. inosine-adenosine-guanosine preferring nucleoside hydrolase. N-D-ribosylpurine ribohydrolase. N-ribosyl purine ribohydrolase. nucleosidase. nucleosidase g. nucleoside hydrolase. purine beta-ribosidase. purine nucleoside hydrolase. purine ribonucleosidase. purine-specific nucleoside N-ribohydrolase. ribonucleoside hydrolase.
222	2.7.2.3	Transferases.	Transferring phosphorus-containing groups.	Phosphotransferases with a carboxy group as acceptor.	phosphoglycerate kinase.		
223	3.4.21.89	Hydrolases.	Acting on peptide bonds (peptidases).	Serine endopeptidases.	signal peptidase I.	Unaffected by inhibitors of most serine peptidases, but site-directed mutagenesis implicates a Ser/Lys catalytic dyad in activity. Cleaves a single bond -Ala-|-Ala- in M13 phage procoat protein, producing free signal peptide and coat protein. Eukaryote signal peptidases that may have somewhat different specificity are known from the endoplasmic reticulum membrane and mitochondrial inner membrane. Belongs to peptidase family S26. Formerly EC 3.4.99.36.	bacterial leader peptidase I. phage-procoat-leader peptidase. SPase I.
224	6.3.2.4	Ligases.	Forming carbon-nitrogen bonds.	Acid--amino-acid ligases (peptide synthases).	D-alanine--D-alanine ligase.	Involved with EC 6.3.2.7 or EC 6.3.2.13, EC 6.3.2.8, EC 6.3.2.9 and EC 6.3.2.10 in the synthesis of a cell-wall peptide.	alanine:alanine ligase (ADP-forming). alanylalanine synthetase. D-Ala-D-Ala synthetase. D-alanylalanine synthetase. D-alanyl-D-alanine synthetase.
225	3.2.2.22	Hydrolases.	Glycosylases.	Hydrolyzing N-glycosyl compounds.	rRNA N-glycosylase.	Ricin A-chain and related toxins show this activity. Naked rRNA is attacked more slowly than rRNA in intact ribosomes. Naked rRNA from Escherichia coli is cleaved at a corresponding position.	rRNA N-glycosidase.
226	5.3.1.1	Isomerases.	Intramolecular oxidoreductases.	Interconverting aldoses and ketoses.	triose-phosphate isomerase.		phosphotriose isomerase. triosephosphate isomerase. triosephosphate mutase. triose phosphoisomerase.
227	2.7.4.3	Transferases.	Transferring phosphorus-containing groups.	Phosphotransferases with a phosphate group as acceptor.	adenylate kinase.	Inorganic triphosphate can also act as donor.	adenylic kinase. adenylokinase. myokinase.
228	2.7.12.1	Transferases.	Transferring phosphorus-containing groups.	Dual-specificity kinases (those acting on Ser/Thr and Tyr residues).	dual-specificity kinase.	This family of enzymes can phosphorylate both Ser/Thr and Tyr residues. Formerly EC 2.7.1.37.	
229	1.5.1.2	Oxidoreductases.	Acting on the CH-NH group of donors.	With NAD(+) or NADP(+) as acceptor.	pyrroline-5-carboxylate reductase.	Also reduces 1-pyrroline-3-hydroxy-5-carboxylate to L-hydroxyproline.	P5CR.
230	3.2.1.31	Hydrolases.	Glycosylases.	and S-glycosyl compounds.	beta-glucuronidase.		
231	3.4.21.53	Hydrolases.	Acting on peptide bonds (peptidases).	Serine endopeptidases.	endopeptidase La.	ATP hydrolysis is linked with peptide bond hydrolysis. Vanadate inhibits both reactions. A similar enzyme occurs in animal mitochondria. Belongs to peptidase family S16.	ATP-dependent protease La. ATP-dependent serine proteinase.
232	3.5.4.5	Hydrolases.	Acting on carbon-nitrogen bonds, other than peptide bonds.	In cyclic amidines.	cytidine deaminase.	Catalyzes the deamination of cytidine and 2'-deoxycytidine with similar efficiencies. The enzyme, which is widely distributed among organisms, is involved in salvage of both exogenous and endogenous cytidine and 2'-deoxycytidine for UMP synthesis. Formerly EC 3.5.4.14.	(deoxy)cytidine deaminase. cytidine aminohydrolase. cytosine nucleoside deaminase.
233	2.7.13.3	Transferases.	Transferring phosphorus-containing groups.	Protein-histidine kinases.	histidine kinase.	This entry has been included to accommodate those protein-histidine kinases for which the phosphorylation site has not been established (i.e. either the pros- or tele-nitrogen of histidine). A number of histones can act as acceptor.	histidine protein kinase. HK1. protein histidine kinase. protein kinase. protein kinase (histidine).
234	6.1.1.21	Ligases.	Forming carbon-oxygen bonds.	Ligases forming aminoacyl-tRNA and related compounds.	histidine--tRNA ligase.		histidine translase. histidyl-tRNA synthetase.
235	1.1.1.205	Oxidoreductases.	Acting on the CH-OH group of donors.	With NAD(+) or NADP(+) as acceptor.	IMP dehydrogenase.	The enzyme acts on the hydroxy group of the hydrated derivative of the substrate. Formerly EC 1.2.1.14.	IMP oxidoreductase. inosinate dehydrogenase. inosine 5'-monophosphate dehydrogenase. inosine monophosphate oxidoreductase. inosinic acid dehydrogenase.
236	4.1.2.4	Lyases.	Carbon-carbon lyases.	Aldehyde-lyases.	deoxyribose-phosphate aldolase.		2-deoxy-D-ribose-5-phosphate acetaldehyde-lyase. deoxyriboaldolase. phosphodeoxyriboaldolase.
237	6.3.2.6	Ligases.	Forming carbon-nitrogen bonds.	Acid--amino-acid ligases (peptide synthases).	phosphoribosylaminoimidazolesuccinocarboxamide synthase.	Forms part of the purine biosynthesis pathway.	4-(N-succinocarboxamide)-5-aminoimidazole synthetase. 4-[(N-succinylamino)carbonyl]-5-aminoimidazole ribonucleotide synthetase. 5-aminoimidazole-4-N-succinocarboxamide ribonucleotide synthetase. phosphoribosylaminoimidazole-succinocarboxamide synthase. phosphoribosylaminoimidazolesuccinocarboxamide synthetase. phosphoribosylaminoimidazole-succinocarboxamide synthetase. SAICARs. SAICAR synthase. SAICAR synthetase.
238	2.1.1.45	Transferases.	Transferring one-carbon groups.	Methyltransferases.	thymidylate synthase.		
239	3.1.1.3	Hydrolases.	Acting on ester bonds.	Carboxylic ester hydrolases.	triacylglycerol lipase.	The enzyme is found in diverse organisms including animals, plants, fungi, and bacteria. It hydrolyzes triglycerides into diglycerides and subsequently into monoglycerides and free fatty acids. The enzyme is highly soluble in water and acts at the surface of oil droplets. Access to the active site is controlled by the opening of a lid, which, when closed, hides the hydrophobic surface that surrounds the active site. The lid opens when the enzyme contacts an oil-water interface (interfacial activation). The pancreatic enzyme requires a protein cofactor, namely colipase, to counteract the inhibitory effects of bile salts.	lipase. tributyrase. triglyceride lipase.
240	3.4.22.56	Hydrolases.	Acting on peptide bonds (peptidases).	Cysteine endopeptidases.	caspase-3.	Caspase-3 is an effector/executioner caspase, as are caspase-6 (EC 3.4.22.59) and caspase-7 (EC 3.4.22.60). These caspases are responsible for the proteolysis of the majority of cellular polypeptides, [e.g. poly(ADP-ribose) polymerase (PARP)], which leads to the apoptotic phenotype. Procaspase-3 can be activated by caspase-1 (EC 3.4.22.36), caspase-8 (EC 3.4.22.61), caspase-9 (EC 3.4.22.62) and caspase-10 (EC 3.4.22.63) as well as by the serine protease granzyme B. Caspase-3 can activate procaspase-2 (EC 3.4.22.55). Activation occurs by inter-domain cleavage followed by removal of the N-terminal prodomain. While Asp-Glu-(Val/Ile)-Asp is thought to be the preferred cleavage sequence, the enzyme can accommodate different residues at P2 and P3 of the substrate. Like caspase-2, a hydrophobic residue at P5 of caspase-3 leads to more efficient hydrolysis, e.g. (Val/Leu)-Asp-Val-Ala-Asp-|- is a better substrate than Asp-Val-Ala-Asp-|-. This is not the case for caspase-7. Belongs to peptidase family C14.	apopain. CASP-3. CPP32. yama protein.
241	2.7.1.23	Transferases.	Transferring phosphorus-containing groups.	Phosphotransferases with an alcohol group as acceptor.	NAD(+) kinase.		DPN kinase.
242	1.14.13.39	Oxidoreductases.	Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2.	With NADH or NADPH as one donor, and incorporation of one atom of oxygen.	nitric-oxide synthase (NADPH).	The enzyme consists of linked oxygenase and reductase domains. The eukaryotic enzyme binds FAD, FMN, heme (iron protoporphyrin IX) and tetrahydrobiopterin, and its two domains are linked via a regulatory calmodulin-binding domain. Upon calcium-induced calmodulin binding, the reductase and oxygenase domains form a complex, allowing electrons to flow from NADPH via FAD and FMN to the active center. The reductase domain of the enzyme from the bacterium Sorangium cellulosum utilizes a [2Fe-2S] cluster to transfer the electrons from NADPH to the active center. Cf. EC 1.14.14.47.	endothelium-derived relaxation factor-forming enzyme. endothelium-derived relaxing factor synthase. NADPH-diaphorase. nitric-oxide synthetase. NO synthase.
243	3.6.4.12	Hydrolases.	Acting on acid anhydrides.	Acting on ATP; involved in cellular and subcellular movement.	DNA helicase.	DNA helicases utilize the energy from ATP hydrolysis to unwind double-stranded DNA. Some of them unwind duplex DNA with a 3' to 5' polarity, other show 5' to 3' polarity or unwind DNA in both directions. Some helicases unwind DNA as well as RNA. May be identical with EC 3.6.4.13.	
244	3.2.1.14	Hydrolases.	Glycosylases.	and S-glycosyl compounds.	chitinase.	The enzyme binds to chitin and randomly cleaves glycosidic linkages in chitin and chitodextrins in a non-processive mode, generating chitooligosaccharides and free ends on which exo-chitinases and exo- chitodextrinases can act. Activity is greatly stimulated in the presence of EC 1.14.99.53, which attacks the crystalline structure of chitin and makes the polymer more accesible to the chitinase. Cf. EC 3.2.1.202.	1,4-beta-poly-N-acetylglucosaminidase. chitodextrinase. poly-beta-glucosaminidase.
245	3.5.1.28	Hydrolases.	Acting on carbon-nitrogen bonds, other than peptide bonds.	In linear amides.	N-acetylmuramoyl-L-alanine amidase.	Formerly EC 3.4.12.5, EC 3.4.17.7 and EC 3.4.19.10.	
246	6.3.4.21	Ligases.	Forming carbon-nitrogen bonds.	Other carbon--nitrogen ligases.	nicotinate phosphoribosyltransferase.	The enzyme, which is involved in pyridine nucleotide recycling, can form beta-nicotinate D-ribonucleotide and diphosphate from nicotinate and 5-phospho-alpha-D-ribose 1-diphosphate (PRPP) in the absence of ATP. However, when ATP is available the enzyme is phosphorylated resulting in a much lower Km for nicotinate. The phospho-enzyme is hydrolyzed during the transferase reaction, regenerating the low affinity form. The presence of ATP shifts the products/substrates equilibrium from 0.67 to 1100. Formerly EC 2.4.2.11.	niacin ribonucleotidase. nicotinic acid mononucleotide glycohydrolase. nicotinic acid mononucleotide pyrophosphorylase. nicotinic acid phosphoribosyltransferase.
247	2.7.7.49	Transferases.	Transferring phosphorus-containing groups.	Nucleotidyltransferases.	RNA-directed DNA polymerase.	Catalyzes RNA-template-directed extension of the 3'-end of a DNA strand by one deoxynucleotide at a time. Cannot initiate a chain de novo. Requires a RNA or DNA primer. DNA can also serve as template. See also EC 2.7.7.7.	DNA nucleotidyltransferase (RNA-directed). reverse transcriptase. revertase.
248	3.1.3.18	Hydrolases.	Acting on ester bonds.	Phosphoric monoester hydrolases.	phosphoglycolate phosphatase.		
249	1.10.3.2	Oxidoreductases.	Acting on diphenols and related substances as donors.	With oxygen as acceptor.	laccase.	A group of multi-copper proteins of low specificity. Acts on both o- and p-quinols, and often acting also on aminophenols and phenylenediamine. The semiquinone may react further either enzymically or non- enzymically.	urishiol oxidase.
250	1.1.1.35	Oxidoreductases.	Acting on the CH-OH group of donors.	With NAD(+) or NADP(+) as acceptor.	3-hydroxyacyl-CoA dehydrogenase.	Also oxidizes S-3-hydroxyacyl-N-acylthioethanolamine and S-3- hydroxyacylhydrolipoate. Some enzymes act, more slowly, with NADP(+). Broad specificity to acyl chain-length (cf. EC 1.1.1.211).	beta-hydroxyacyl dehydrogenase. beta-keto-reductase.
251	2.1.3.2	Transferases.	Transferring one-carbon groups.	and carbamoyltransferases.	aspartate carbamoyltransferase.		aspartate transcarbamylase. ATCase. carbamoylaspartotranskinase.
252	4.1.99.3	Lyases.	Carbon-carbon lyases.	Other carbon-carbon lyases.	deoxyribodipyrimidine photo-lyase.	A flavoprotein containing a second chromophore group. Catalyzes the reactivation by light of irradiated DNA. A similar reactivation of irradiated RNA is probably due to a separate enzyme.	DNA photolyase. photoreactivating enzyme.
253	1.3.5.1	Oxidoreductases.	Acting on the CH-CH group of donors.	With a quinone or related compound as acceptor.	succinate dehydrogenase.	A complex generally comprising an FAD-containing component that also binds the carboxylate substrate (A subunit), a component that contains three different iron-sulfur centers [2Fe-2S], [4Fe-4S], and [3Fe-4S] (B subunit), and a hydrophobic membrane-anchor component (C, or C and D subunits) that is also the site of the interaction with quinones. The enzyme is found in the inner mitochondrial membrane in eukaryotes and the plasma membrane of bacteria and archaea, with the hydrophilic domain extending into the mitochondrial matrix and the cytoplasm, respectively. Under aerobic conditions the enzyme catalyzes succinate oxidation, a key step in the citric acid (TCA) cycle, transferring the electrons to quinones in the membrane, thus linking the TCA cycle with the aerobic respiratory chain (where it is known as complex II). Under anaerobic conditions the enzyme functions as a fumarate reductase, transferring electrons from the quinol pool to fumarate, and participating in anaerobic respiration with fumarate as the terminal electron acceptor. The enzyme interacts with the quinone produced by the organism, such as ubiquinone, menaquinone, caldariellaquinone, thermoplasmaquinone, rhodoquinone etc. Some of the enzymes contain two heme subunits in their membrane anchor subunit. These enzymes catalyze an electrogenic reaction and are thus classified as EC 7.1.1.12.	fumarate reductase (menaquinone). succinate dehydrogenase (menaquinone). succinate dehydrogenase (quinone). succinate dehydrogenase (ubiquinone). succinic dehydrogenase.
254	2.7.11.17	Transferases.	Transferring phosphorus-containing groups.	Protein-serine/threonine kinases.	calcium/calmodulin-dependent protein kinase.	Requires calmodulin. A wide range of proteins can act as acceptor, including vimentin, synapsin, glycogen synthase, myosin light-chains and the microtubule- associated tau protein. Not identical with EC 2.7.11.18 or EC 2.7.11.26. Formerly EC 2.7.1.120 and EC 2.7.1.123.	Ca(2+)/calmodulin-dependent microtubule-associated protein 2 kinase. Ca(2+)/calmodulin-dependent protein kinase 1. Ca(2+)/calmodulin-dependent protein kinase II. Ca(2+)/calmodulin-dependent protein kinase IV. Ca(2+)/calmodulin-dependent protein kinase kinase. Ca(2+)/calmodulin-dependent protein kinase kinase beta. calcium/calmodulin-dependent protein kinase type II. caldesmon kinase. caldesmon kinase (phosphorylating). calmodulin-dependent kinase II. CaMKI. CaMKII. CaM kinase. CaM kinase II. CaMKIV. CaMKKalpha. CaMKKbeta. CAM PKII. CaM-regulated serine/threonine kinase. microtubule-associated protein 2 kinase.
255	2.7.11.24	Transferases.	Transferring phosphorus-containing groups.	Protein-serine/threonine kinases.	mitogen-activated protein kinase.	Phosphorylation of specific tyrosine and threonine residues in the activation loop of this enzyme by EC 2.7.12.2 is necessary for enzyme activation. Once activated, the enzyme phosphorylates target substrates on serine or threonine residues followed by a proline. A distinguishing feature of all MAPKs is the conserved sequence Thr- Xaa-Tyr (TXY). Mitogen-activated protein kinase (MAPK) signal transduction pathways are among the most widespread mechanisms of cellular regulation. Mammalian MAPK pathways can be recruited by a wide variety of stimuli including hormones (e.g. insulin and growth hormone), mitogens (e.g. epidermal growth factor and platelet-derived growth factor), vasoactive peptides (e.g. angiotensin-II and endothelin), inflammatory cytokines of the tumor necrosis factor (TNF) family and environmental stresses such as osmotic shock, ionizing radiation and ischemeic injury. Formerly EC 2.7.1.37.	c-Jun N-terminal kinase. ERK. extracellular signal-regulated kinase. JNK. MAPK. MAP kinase. MBP kinase I. MBP kinase II. microtubule-associated protein 2 kinase. microtubule-associated protein kinase. myelin basic protein kinase. SAPK. stress-activated protein kinase.
256	2.3.1.41	Transferases.	Acyltransferases.	Transferring groups other than amino-acyl groups.	beta-ketoacyl-[acyl-carrier-protein] synthase I.	Responsible for the chain-elongation step of dissociated (type II) fatty-acid biosynthesis, i.e. the addition of two C atoms to the fatty-acid chain. Escherichia coli mutants that lack this enzyme are deficient in unsaturated fatty acids. Can use fatty acyl thioesters of ACP (C2 to C16) as substrates, as well as fatty acyl thioesters of Co-A (C4 to C16). The substrate specificity is very similar to that of EC 2.3.1.179 with the exception that the latter enzyme is far more active with palmitoleoyl-ACP (C16Delta(9)) as substrate, allowing the organism to regulate its fatty-acid composition with changes in temperature.	3-ketoacyl-acyl carrier protein synthase. 3-oxoacyl-[acyl-carrier-protein] synthase. acyl-malonyl(acyl-carrier-protein)-condensing enzyme. acyl-malonyl acyl carrier protein-condensing enzyme. beta-ketoacyl-[acyl carrier protein] synthase. beta-ketoacyl-ACP synthase I. beta-ketoacyl-ACP synthetase. beta-ketoacyl acyl carrier protein synthase. beta-ketoacyl-acyl carrier protein synthetase. beta-ketoacylsynthase. beta-ketoacyl synthetase. condensing enzyme. fatty acid condensing enzyme. KAS I.
257	3.2.1.113	Hydrolases.	Glycosylases.	and S-glycosyl compounds.	mannosyl-oligosaccharide 1,2-alpha-mannosidase.	This family of mammalian enzymes, located in the Golgi system, participates in the maturation process of N-glycans that leads to formation of hybrid and complex structures. The enzymes catalyze the hydrolysis of the four (1->2)-linked alpha- D-mannose residues from the Man9GlcNAc2 oligosaccharide attached to target proteins. Alternatively, the enzymes act on the Man8GlcNAc2 isomer formed by EC 3.2.1.209. The enzymes are type II membrane proteins, require Ca(2+), and use an inverting mechanism. While all three human enzymes can catalyze the reactions listed here, some of the enzymes can additionally catalyze hydrolysis in an alternative order, generating additional isomeric intermediates, although the final product is the same. The names of the isomers listed here are based on a nomenclature system proposed by Prien et al.	Man9-mannosidase. ManI. mannosidase 1A. mannosidase 1B.
